#     frames       t (s)     x (pxl)     y (pxl)           f         u02         u20         u11
       223.0       111.5  133.944656   98.433212     1.51632    9.429463    7.687763    0.183955
       224.0       112.0   134.34433   98.527626    1.962834   14.300859    9.627869    1.746486
       225.0       112.5  134.031784   99.003265    2.210076   18.949446    9.176691   -7.307059
       226.0       113.0         nan         nan         nan         nan         nan         nan
       227.0       113.5  135.155197   97.845985    2.456332    5.951314    7.605804    0.111323
       228.0       114.0  134.161911   99.191002    2.847569    12.29454   11.737561   -4.300078
       229.0       114.5  135.541412   98.671501    2.393416    5.790077    9.388625    1.111067
       230.0       115.0  134.024399   98.675476    3.252936   10.314336    6.795663   -0.093142
       231.0       115.5  134.920807   99.809982    3.538856    8.499403   16.675646    0.857793
       232.0       116.0  134.866974    98.95134    2.916831    8.262703    9.808969   -2.302534
       233.0       116.5  133.848083   98.751411    2.591282     7.45467     8.40831   -0.227264
       234.0       117.0  134.786301   99.346809    2.951823   10.634767     6.99048   -0.087949
       235.0       117.5  134.758575   98.930481    2.179914    12.28571    7.806846   -1.661943
       236.0       118.0  135.883041   98.990578    2.511868   11.286999    8.895832   -1.720134
       237.0       118.5  134.983978   98.583542     3.28502   15.611732   11.909677   -1.552358
       238.0       119.0  133.530579   98.003838    2.904848    7.334683    7.808633   -0.180277
       239.0       119.5  134.503479   98.609062     2.57124   11.387731    5.626915    1.312825
       240.0       120.0  136.146103   98.856361    3.999363    9.390091   10.748773   -0.450393
       241.0       120.5  135.297592   98.288841    3.714055   14.936697   12.817027   -3.153495
       242.0       121.0    134.5578   99.005211     2.59177    8.184778    5.663156    1.160442
       243.0       121.5  135.345642   98.759979    3.610287    9.526271   17.842211   -2.091486
       244.0       122.0  133.637604   98.905853    3.573882    8.943213   13.941844   -1.368179
       245.0       122.5   134.27388   98.967201    4.263028   13.010951   12.593486   -1.191424
       246.0       123.0   134.56218   99.357628    2.185846   10.077823    8.416085    -0.80067
       247.0       123.5  134.004593    99.07975    5.203827   20.894152   12.985956    0.208362
       248.0       124.0  132.847672   98.439484     5.45923   12.533749   16.002155    -1.29781
       249.0       124.5  133.539642   99.378456     4.71874   11.938523   14.142064    1.383297
       250.0       125.0  134.037903   99.472496    4.902782   15.368391   14.170247    0.294642
       251.0       125.5  133.544952   99.289093    5.832162   19.909716   17.226133   -0.477378
       252.0       126.0  134.148361   98.957909    3.865004    8.495326   40.707333    -3.82161
       253.0       126.5  134.249405   98.609375    6.618133   18.470066   18.715675    1.467799
       254.0       127.0  133.927017   98.620857     5.95954      15.959   13.262156   -1.273877
       255.0       127.5  134.242615   98.518097     5.12325   15.744712   17.508165    2.052248
       256.0       128.0  135.268021   97.107666    4.028651   11.665978   21.432169   -5.560383
       257.0       128.5  137.160156   96.995384    4.278925    19.96451   25.820353    1.644767
       258.0       129.0  139.834869   98.182365    4.846928   12.391397   12.737781   -2.020859
       259.0       129.5  141.319672   97.188362    5.663573   18.491999   16.123055   -0.684213
       260.0       130.0  140.115005   97.872864    5.919295   20.875702   15.627171   -2.760387
       261.0       130.5  140.287003   96.912247    5.561883   15.172982   21.900394    0.483031
       262.0       131.0  140.709183   97.078613    4.454407   10.698838   14.173194    0.905834
       263.0       131.5  141.835678   99.302307    4.128282   13.076734   14.659915     1.54092
       264.0       132.0  140.932098   98.155243     4.40367   10.982229   17.513935     1.13974
       265.0       132.5  140.501328   97.295364    6.071758   17.003889   17.135477    2.743862
       266.0       133.0   138.86676    97.13681    5.523675    17.23699   15.749674   -0.290765
       267.0       133.5  140.149551   97.063164    5.278686   13.116789   12.720666   -0.189674
       268.0       134.0  140.533157   97.805344    5.640754   12.426119   22.856478   -0.944368
       269.0       134.5  141.571228   96.816887    4.764546   14.215514   23.173338    0.225772
       270.0       135.0  140.219696   97.425064    4.811645   12.886504   15.189837   -2.613908
       271.0       135.5  140.247375   97.477119    4.453887   20.471123   13.275638   -1.619351
       272.0       136.0  139.482895   97.157242    3.137617   13.255665   10.450451    0.117322
       273.0       136.5  141.043961   98.054504    5.181808   18.035578   12.057057    0.689497
       274.0       137.0  141.269958   99.069939    3.501492   15.416839    7.260508    2.829548
       275.0       137.5   140.72995   98.782913    3.272966    12.02507    10.54071   -0.471929
       276.0       138.0  139.186951   98.482498    2.278802    8.228382    8.246337    0.302411
       277.0       138.5         nan         nan         nan         nan         nan         nan
       278.0       139.0  140.740341   97.160652    1.432624    4.043044    5.853663    2.226707
#-----------------------------------------------------------------------------------------------
# experiment: ./TRAJECTORIES
# path: /Users/andreapicco/Google Drive/RESEARCH/TRACKING/Automated_Tracking/TEST/AP2_MOVIE_2/./TRAJECTORIES
# file: trajectory_000458.txt
# dataset: Traj_3_Macro_pDC_Left_Mid_AP2_GFP_LP_fr_600_i_0.5_Airyscan Processing_BG_BL_JTC.txt
# t_unit: s
# delta_t: 0.5
# coord_unit: pxl
# intensity_normalisation: None
