#    frames      t (s)    x (pxl)    y (pxl)          f        u02        u20        u11
      243.0      121.5  24.711973  66.940559    1.39745  13.730494   6.326589  -3.627855
      244.0      122.0  25.561214  65.977432   1.356812    5.47591    5.97234  -1.239587
      245.0      122.5  25.643517  67.464264   1.661703   5.539732   5.160009   -1.62623
      246.0      123.0        nan        nan        nan        nan        nan        nan
      247.0      123.5  23.988981  67.313644   1.443269   5.907188   8.062362  -1.819932
      248.0      124.0   24.91996  67.802872   1.332318   4.256649  17.060825   4.338664
      249.0      124.5  24.543636  67.689484   2.825172  12.441488  25.673534    9.41706
      250.0      125.0  25.813427  67.178818   2.888585  10.444385  10.731785  -2.116685
      251.0      125.5  24.922525  66.906075   2.223822   9.403584  14.216673  -4.302797
      252.0      126.0  24.760904  67.780777   2.743228  10.610619   9.305065    3.45148
      253.0      126.5  25.043228  67.074966   1.899333   8.333094   3.794607  -0.686351
      254.0      127.0  25.045734   67.57122   3.249784  15.214476  17.584335   2.352249
      255.0      127.5  24.778576  67.144791   3.986547  15.283536   7.980813   2.329117
      256.0      128.0  25.461763  67.957596   3.778714   11.80277  11.271955  -1.349885
      257.0      128.5  25.463478  67.702026   2.904887   9.289264   9.257389   1.081573
      258.0      129.0  25.261511  67.894043   3.823971  18.433424   9.651456   2.888654
      259.0      129.5  25.025057  67.662819   4.723929  11.301033  15.176245   2.815392
      260.0      130.0  25.520535   67.37796    3.05174  15.496659   7.862956  -0.235084
      261.0      130.5  24.125813  67.173317   4.301382   9.604946   9.772491   1.711045
      262.0      131.0  25.821007  67.202011   3.797335  13.368976   8.274979  -1.684808
      263.0      131.5  25.208864  67.827774   2.339072  12.753714   7.034155   3.464779
      264.0      132.0  25.689541  67.285957     4.1117  13.863931   9.793579  -1.292246
      265.0      132.5  25.134501  68.053047   3.036534   8.941395   8.986021  -2.029666
      266.0      133.0  25.607508  67.781075   3.117215   8.524981  20.025467  -5.393136
      267.0      133.5  25.878132  67.831108   6.749676  15.159088  21.262318   2.096285
      268.0      134.0  26.126242  68.226006   4.730484  23.677139   9.858143   1.231591
      269.0      134.5  26.079287  67.048798   4.595613  12.972485  13.934856   1.160228
      270.0      135.0  26.312782  67.571701   3.812197   9.216975  10.311655  -1.623061
      271.0      135.5   26.55291  67.414276    4.73651   13.92453  23.646584   2.820767
      272.0      136.0   26.86565  68.064751   3.863086  11.126361  12.240776  -2.620962
      273.0      136.5  27.272976  67.391304   4.974178  14.973275  17.024033   -1.52494
      274.0      137.0  26.024273   67.68924   5.602514  15.265278  13.554508  -0.821237
      275.0      137.5   26.68432  67.143433   3.951543  12.547112   9.570187    1.25179
      276.0      138.0  26.863979  68.010551    4.64818  11.108478  14.283133    0.96163
      277.0      138.5  25.592972  68.460556   4.876145   18.02758  12.789892   0.198291
      278.0      139.0  26.155655  68.218864   5.903513  20.857031  16.465048  -4.031406
      279.0      139.5  26.400972   67.73317   3.883091  15.092939  10.996335   1.988827
      280.0      140.0  25.878487  67.928078    4.77933  14.840463  11.236074  -0.541512
      281.0      140.5  26.044842  68.029625   4.444917  11.848256  13.419369   1.693857
      282.0      141.0   25.16091  68.215332   4.232985  11.299088  11.954799   -0.68006
      283.0      141.5  25.903942  68.195129   5.751024  16.207729  16.627403  -3.150676
      284.0      142.0  25.144423   68.51989   5.338902  17.447161  16.829281   3.376291
      285.0      142.5  25.408245  68.137161   5.786629  24.763699  15.683167  -0.959542
      286.0      143.0  24.144932  68.198616   4.410512  18.598015   9.987368   0.553045
      287.0      143.5  23.860332  67.737442    5.84342  18.525352  17.361265   0.406106
      288.0      144.0  24.155941  68.348778   7.751767  25.777304  18.724487   2.878979
      289.0      144.5  24.442789  68.383957   5.204344  23.353687  14.558423   5.556828
      290.0      145.0  24.084911  67.408073   4.058531  10.487572  14.765056  -0.594772
      291.0      145.5  23.998501  67.946854   4.371475  13.277742  13.937312   2.187909
      292.0      146.0  24.212513  68.105858   5.711973  15.561076  12.483143   0.429992
      293.0      146.5  24.601748  68.049591   4.475039  14.082289  10.499437  -1.090962
      294.0      147.0  24.082445  68.584381   5.891025   17.64699  16.859785  -2.516579
      295.0      147.5  24.913624  68.378761   6.190215  18.839735  17.672176   3.395104
      296.0      148.0  25.245033   68.52095   6.334703  22.891335  13.000366  -0.326278
      297.0      148.5  24.714104  68.331306     6.7619   30.97316  17.089367  -6.786162
      298.0      149.0  24.804785  68.370964    7.93182  24.351107  22.281633  -0.967285
      299.0      149.5  24.757086  68.230797   7.176148  21.963224  17.681406   3.541899
      300.0      150.0  23.929413  67.917007   6.226553  22.592249  12.564134   2.192672
      301.0      150.5   22.75942  68.073486   7.447039  20.696014  22.318621  -1.853271
