#     frames       t (s)     x (pxl)     y (pxl)           f         u02         u20         u11
        24.0        12.0   447.78656   84.973076    1.497306     4.22805    2.709094    0.544516
        25.0        12.5  446.460022   83.582092    1.701872    6.704892    7.932559   -4.110036
        26.0        13.0  449.550415   83.111168    2.301958     4.91738    6.299267   -0.273992
        27.0        13.5  448.459137   83.839485     2.15777    8.058553    5.886857   -1.204795
        28.0        14.0  445.506653   85.919662    3.328201   11.669543   11.538192   -2.639742
        29.0        14.5  447.005768   84.590721    2.877441    9.948858   14.449437   -2.202018
        30.0        15.0  445.365204     85.1194    4.834176   19.722837   15.178244    3.363606
        31.0        15.5  446.952118   85.544624    3.822089   21.513693    10.35762    2.206097
        32.0        16.0  446.083435   84.944382    4.035491    12.05241   20.474253   -4.409205
        33.0        16.5  447.155212   83.942513    3.857649   17.839928   14.617408    8.469206
        34.0        17.0  447.503174   82.556145    2.864694    14.97834    9.564249   -0.654148
        35.0        17.5  444.656311   84.373001    4.342555     9.75237   19.081364   -0.551914
        36.0        18.0  446.008453   83.251572    3.278145   10.729157    7.762278    3.839026
        37.0        18.5  445.111389   82.927193    1.787158    2.872011    6.485869   -0.556408
        38.0        19.0  444.171295   83.786903    2.239765    5.248676    8.486176   -2.177773
        39.0        19.5  446.495148   84.429901    3.743929   13.161597   10.172668   -0.176112
        40.0        20.0  443.631989   83.378593    1.887032    5.371174    9.860139   -3.108573
        41.0        20.5  444.125305   83.779366    3.610702   11.609345   11.403981    -3.43492
        42.0        21.0  442.889069   83.831245     3.61849    9.654222   15.899844   -1.923506
        43.0        21.5  443.710052   83.027893    4.151118   10.999249   12.669228   -0.946574
        44.0        22.0  439.891571   85.033638    5.692108    29.51712     10.8511    2.195906
        45.0        22.5  440.192505   85.090408    4.444128   19.576195    14.41764   -7.409837
        46.0        23.0  442.622406   83.390549     3.43708   14.549896    9.333801   -4.745155
        47.0        23.5  440.989594   84.338737     4.47802   19.502411   15.193162   -5.753953
        48.0        24.0  440.396484   87.560524    4.166852   26.563778    7.647633    0.616609
        49.0        24.5  440.036926   85.158386    6.433576   20.909121   16.128206    1.563888
        50.0        25.0  441.217682   84.500381    6.453357   33.941521   15.847342   -2.131905
        51.0        25.5  439.776886   85.442184    5.933083    31.19495   12.439783    2.725375
        52.0        26.0  440.019806    84.47937     7.93232   35.292236   14.910406    0.048656
        53.0        26.5  440.462891   85.018677    6.246075   22.558996   20.006744   -4.436133
        54.0        27.0  440.462921   85.395004    7.848038   39.472435   18.201002    7.153294
        55.0        27.5  440.578064    85.14003    8.363545   36.308144   18.363958   -0.444117
        56.0        28.0  441.077576   85.079582    7.013629   33.813286   14.941679     1.60649
        57.0        28.5  439.576294   84.884178    5.054189   17.799898   25.016981    4.097934
        58.0        29.0   440.58139   84.772598    6.058582    19.69186   20.744501    5.573883
        59.0        29.5  440.914368   86.552742    5.347497    17.38862   15.263189   -3.168441
        60.0        30.0  440.475098   86.712227    6.009234   18.342545   15.457685   -3.147044
        61.0        30.5  440.648041   86.288811     3.56433    14.16014   11.127121    2.412442
        62.0        31.0  440.502869    86.50869    3.618334    8.870305    13.46061   -3.076914
        63.0        31.5  440.496094   86.529846    4.811038   11.240309   15.478108   -0.427536
        64.0        32.0  441.865479   86.328743     3.39309    9.351693    14.86272   -0.236145
        65.0        32.5  441.910736   86.473312    3.908681    18.24964    7.791461    0.767449
        66.0        33.0  441.617279   86.286423    3.884486     9.60419   11.954006    0.276696
        67.0        33.5  441.568909   86.829605    4.315934    14.09583   15.047047   -1.458568
        68.0        34.0  441.581177   87.112381    4.690353   11.527716   12.451326    1.570817
        69.0        34.5  440.825775      86.459    3.986793   15.079832    8.111132   -0.538656
        70.0        35.0  441.812775   87.054695    4.594985   15.993668   11.985148   -2.173405
        71.0        35.5  442.347565   86.732872    4.826705   13.998972   13.516109    1.512343
        72.0        36.0  442.220276   86.737045    4.741633   15.792378      19.086   -4.735764
        73.0        36.5  441.539276   87.308266    4.611945   16.365961   10.218369   -0.526861
        74.0        37.0  442.057159   87.564903    4.358743   15.652104   12.794314    2.096415
        75.0        37.5  442.442444   87.763931    5.776417   16.859745   16.109261   -2.617687
        76.0        38.0   443.02829   87.651489    5.121383   15.735317    13.09511   -2.033602
        77.0        38.5  441.812012   87.850067     4.78251   13.222432   17.025528   -0.261798
        78.0        39.0  442.915375   87.118362    4.929438   17.637545   14.787174   -4.323398
        79.0        39.5  442.790375   87.250694     4.28073   11.019097   11.139952    0.876504
        80.0        40.0  443.811829   85.696228    5.146902   14.400067   11.580196    0.237544
        81.0        40.5  442.619476   87.263435    5.845438   17.576618   16.118099   -1.817373
        82.0        41.0  443.724182   87.046318    5.899765   13.626463   19.891247    1.216341
        83.0        41.5  443.721588   87.070427    4.515903   13.857381   16.249603   -2.857928
        84.0        42.0  443.534241   86.804314    4.232526   12.013282   16.072378    3.119811
        85.0        42.5  443.790497   87.395279    4.272986   13.480523   13.038301   -1.606476
        86.0        43.0  443.249329   87.227776    4.573072   15.387426   12.072702   -1.370841
        87.0        43.5  443.673706   87.181709    3.172901   13.546609    7.660978    0.330464
        88.0        44.0  444.409698   86.490646    4.257926   14.149747   10.948227    2.515616
        89.0        44.5  445.273438   86.957115    6.057805   13.831413   17.799946   -0.733579
        90.0        45.0   443.63913   86.752205    2.509782    7.985138    5.217106    1.531241
        91.0        45.5  444.173645   87.534492    5.099765   14.145081   18.298054   -1.256116
        92.0        46.0  444.999817   87.404167    4.126501   13.578086   12.606143    1.791391
        93.0        46.5  444.418121   87.209229    4.332176    9.532149   13.771561   -0.342496
        94.0        47.0  444.242645   87.785698    4.490216   13.075818   18.383621   -2.186592
        95.0        47.5  444.209534   87.268028    4.829012   18.220768   11.535873    2.066935
        96.0        48.0  445.112366   87.036652    5.970179   16.684298   11.804879   -0.353911
        97.0        48.5  444.534058   88.302971    4.655867   10.421372   12.917535   -0.516863
        98.0        49.0  443.706543   87.909218    5.354545   13.351586   15.072072    1.585538
        99.0        49.5  443.700897   87.816574     4.14426   11.297675   10.757568   -0.534496
       100.0        50.0  444.663391   87.900681     5.92178   15.770231   18.542143    3.041885
       101.0        50.5  444.215515   88.137199    5.471645   19.097359   11.429821   -0.400553
       102.0        51.0  444.803253    87.56414    3.981671   11.721048   11.402211   -0.134936
       103.0        51.5  444.413086   87.583229    4.872957   15.262003   12.402139    0.549799
       104.0        52.0  443.192719   87.196754    4.856759   13.259374   15.757935    -2.25404
       105.0        52.5  444.168823   87.784027    4.881112   14.718042   14.350769   -1.243136
       106.0        53.0  444.007294   87.645905    4.847113   11.190585   20.344816    1.809024
       107.0        53.5  443.335205   87.485352      5.4045   15.721256   17.018948   -4.468729
       108.0        54.0  443.202881   86.752708    5.374602   15.744946   14.603251   -3.440066
       109.0        54.5   442.75061   87.216675    5.030705   14.828292   14.601109   -2.961257
       110.0        55.0  442.290405   87.417328    3.327407    8.929287   10.789245    1.328929
       111.0        55.5  441.918427    87.59314    4.946412    14.97698   11.778322    1.408532
       112.0        56.0  442.762756   86.430695    4.060302   11.260996    14.19204    1.435302
       113.0        56.5  442.429565   88.347366    3.119576    7.016929    9.541669   -1.498009
       114.0        57.0  442.878326   88.072304    4.723586   14.492883   12.511765   -1.933052
       115.0        57.5  442.848633    87.15136    2.804993      9.2427   12.235489    1.900117
       116.0        58.0  443.594147   87.869438    4.185363   14.638929   13.222825    3.519299
       117.0        58.5  443.659943   88.056648    4.226844   16.119728    8.676868   -0.141706
       118.0        59.0  443.518402   86.191452    2.747969    6.762117    8.299736   -1.046642
       119.0        59.5  443.584625   86.113289    3.027186     8.44539   11.531987   -1.310931
       120.0        60.0  444.953369   86.798981    2.844528    7.213011   13.300161     -0.5228
       121.0        60.5  442.677643   86.528923    3.382308   11.236185   12.165676    0.915905
       122.0        61.0   443.10849   87.075439    3.209587   13.898836    8.103537   -0.633164
       123.0        61.5  442.044922   86.349472    3.778372    8.525084   11.052116    1.621946
       124.0        62.0  443.171295   86.409805    2.733437    6.254282    9.260303   -0.155789
       125.0        62.5  444.144623   86.833595    3.491646   11.154119    6.370799    0.526726
       126.0        63.0  443.923645   87.456108    3.423223    7.107885   16.742678    1.259809
       127.0        63.5  443.330872   87.283905    2.472683    5.106319   10.530037   -1.517273
       128.0        64.0  442.514618    87.20536    2.620119    9.273613    9.530883    -4.14394
       129.0        64.5  443.170044   86.944641    2.641079   10.173297    7.303054   -2.449669
       130.0        65.0  444.267212   87.500145    3.941799   10.862459   11.646249   -0.063833
       131.0        65.5  443.977692   87.912842    3.692911    8.340599   12.362563   -0.995159
       132.0        66.0  444.417847   87.994522    3.625673   11.543677   10.004709    2.148119
       133.0        66.5  444.066742   87.957535    3.790077    9.503575    9.819494   -2.250616
       134.0        67.0  445.585205   87.628937    3.180744    7.825638   13.634437   -0.906544
       135.0        67.5  445.515198   87.638512    3.200867    9.379205    9.202518    0.317618
       136.0        68.0  444.191132    87.35302    2.821322    8.564586    6.503359    0.303516
