#    frames      t (s)    x (pxl)    y (pxl)          f        u02        u20        u11
      177.0       88.5  62.738739  49.627781   1.153306   2.787872   2.582367  -0.033715
      178.0       89.0        nan        nan        nan        nan        nan        nan
      179.0       89.5  61.244869  50.536041   2.438969   6.879568   7.272518  -1.520751
      180.0       90.0  60.742401  49.609055   2.068654   5.680418   5.928034   0.637481
      181.0       90.5        nan        nan        nan        nan        nan        nan
      182.0       91.0  59.283306  50.882866   2.221889   5.558929   5.205428  -1.374606
      183.0       91.5        nan        nan        nan        nan        nan        nan
      184.0       92.0  62.326576  51.355968   1.096748   1.704591   4.217943   0.689144
      185.0       92.5  60.660309  50.464256   2.947152    6.75366   8.231391   -0.70865
      186.0       93.0  61.814655  50.132511   2.217214   5.920521   7.303421  -2.654381
      187.0       93.5  62.104092  51.609745    1.43388   3.253434    5.23942   1.144806
      188.0       94.0  61.192551  50.119167   2.286123   5.016373   7.890991   1.064287
      189.0       94.5  61.252888  50.741989   1.969362   6.633127   7.236336   1.941808
      190.0       95.0  62.518723  51.746487   1.709123   6.332761   5.359769   2.221485
      191.0       95.5  63.262501  50.677681   1.444473   3.550344   3.853355  -0.609544
      192.0       96.0  61.205868  50.995018   3.283338   10.41777   7.549498  -0.840359
      193.0       96.5  61.869007  51.057869   3.520611   9.586808  10.582091   -0.71413
      194.0       97.0  63.181816  50.780399   3.264759   9.247716   9.369563    0.51494
      195.0       97.5  62.769062   50.98983   2.994722   6.491472   8.640922  -0.276839
      196.0       98.0  62.837711   50.97353    3.89623  10.763968    8.82621   1.096751
      197.0       98.5  63.342335  51.794392   3.481551   11.21056   8.545178    0.53811
      198.0       99.0  62.329788  51.407883   2.932513  10.476901    6.68825     0.0325
      199.0       99.5  63.562214  50.706966   3.167689    9.63002  10.642866   -1.91239
      200.0      100.0  63.537853  50.402874   3.990924  11.352609   13.10572   3.371453
      201.0      100.5  62.913048  50.626804   4.499735  11.983206  10.685478  -1.292051
      202.0      101.0  63.172874  51.487442   4.313725  12.363414  13.226921  -0.901362
      203.0      101.5  63.294186   50.87466   3.186116   7.747198  10.567136  -1.258728
      204.0      102.0  62.571907  51.844379   3.507524  11.220576   12.17298  -1.594225
      205.0      102.5  63.636715  50.948181    3.20638   6.532202  11.790899   0.381483
      206.0      103.0   63.76601  51.020828    3.29112   8.637559  13.428344  -2.549474
      207.0      103.5  62.505314  50.845844   3.883357   9.997498   9.193603   0.927712
      208.0      104.0  63.221672  50.147518   4.705687  11.293573   11.48716   1.887448
      209.0      104.5  62.418983  50.597816   4.252495   9.527792  13.289075  -1.593476
      210.0      105.0  62.648613  50.874054    4.28383  15.016772   8.132936   0.404376
      211.0      105.5  62.082878  51.615723    4.31082  11.828556   9.891172   1.259012
      212.0      106.0  62.051895  51.248154   4.543666  11.208521  12.372564   2.850139
      213.0      106.5  63.446831  51.616955   3.619751   8.411139  15.035991   0.335175
      214.0      107.0  62.809944    51.3946   3.459001   9.165585    8.19484  -0.440615
      215.0      107.5  62.415409  50.884953    3.90948  10.229332   9.676751  -0.451533
      216.0      108.0  63.208786  50.552513   3.897433   9.317095  13.229952   1.635793
      217.0      108.5  63.739647  51.425278   6.204956  19.065212  14.297042   1.640776
      218.0      109.0  63.430508  51.061962   4.614715  10.549566  18.056318  -1.716065
      219.0      109.5  63.107853  50.880032   4.081999   9.692698  10.651536  -0.430367
      220.0      110.0  63.277462   50.84639   3.912279   8.118686  17.444883  -1.257122
      221.0      110.5  64.028511  50.635612   5.143142  20.485104  11.642596  -5.565753
      222.0      111.0  63.621994  51.424454   4.508929  12.976774  11.446282  -0.321128
      223.0      111.5  64.218781  51.194172    6.76547  17.000187  18.964054   1.295323
      224.0      112.0  63.334721  50.905407   3.514198   8.935286    8.82629  -1.047888
      225.0      112.5  63.333218  51.467083    3.85758  12.594395  10.544572   0.926008
      226.0      113.0  66.164627  51.232506   3.543309  11.819997  12.068477   2.203997
      227.0      113.5        nan        nan        nan        nan        nan        nan
      228.0      114.0  66.588982  51.462753   1.213754   2.495006   2.890984   0.819467
      229.0      114.5        nan        nan        nan        nan        nan        nan
      230.0      115.0  64.297707  48.351673   0.723494   1.324173   1.062153   0.000308
#---------------------------------------------------------------------------------------
# experiment: ./TRAJECTORIES
# path: /Users/andreapicco/Google Drive/RESEARCH/TRACKING/Automated_Tracking/TEST/AP2_MOVIE_2/./TRAJECTORIES
# file: trajectory_000340.txt
# dataset: Traj_3_Macro_pDC_Left_Mid_AP2_GFP_LP_fr_600_i_0.5_Airyscan Processing_BG_BL_JTC.txt
# t_unit: s
# delta_t: 0.5
# coord_unit: pxl
# intensity_normalisation: None
