#     frames       t (s)     x (pxl)     y (pxl)           f         u02         u20         u11
       581.0       290.5   37.871464  285.173584    0.818442    1.752326     1.75861   -0.379451
       582.0       291.0   36.651848  282.768585    1.300067    2.089133    6.068974   -0.197589
       583.0       291.5         nan         nan         nan         nan         nan         nan
       584.0       292.0   35.776386  271.353943     1.69112    3.964085    4.505162   -0.708421
       585.0       292.5   37.338161  271.754883    0.984775    2.088181    2.097076   -0.155974
       586.0       293.0   37.863621  271.634827     1.08195    2.066865    2.283134    0.289797
       587.0       293.5   36.578911  271.198486    1.048895    1.709153    3.011092   -0.010923
       588.0       294.0   35.674484  271.893494    1.409809    3.998163    4.517803    1.996146
       589.0       294.5         nan         nan         nan         nan         nan         nan
       590.0       295.0   36.873363  270.705872     1.18215    3.619183    3.218632    0.109032
       591.0       295.5         nan         nan         nan         nan         nan         nan
       592.0       296.0   36.343998  270.834686    1.466624    3.031855    4.279819   -0.008512
       593.0       296.5    36.09594  268.154388     1.37839    4.420249    2.530625    0.247048
       594.0       297.0   37.248791   271.19635    1.978357    5.207326     7.56657    2.105844
       595.0       297.5   35.187454  270.332672    1.259486    3.811682     2.61176   -0.743888
       596.0       298.0   37.117344  270.354034    2.057681    6.340114    4.274263    0.874243
       597.0       298.5   36.037586   269.80835    1.634418    5.532504    3.004511   -0.407249
       598.0       299.0   36.669308  270.313568    2.918097    6.030933    7.081103    0.285722
#-----------------------------------------------------------------------------------------------
# experiment: ./TRAJECTORIES
# path: /Users/andreapicco/Google Drive/RESEARCH/TRACKING/Automated_Tracking/TEST/AP2_MOVIE_2/./TRAJECTORIES
# file: trajectory_001561.txt
# t_unit: s
# delta_t: 0.5
# coord_unit: pxl
# intensity_normalisation: None
# eccentricity_pval: 0.6047728544859003
# eccentricity_R: 0.6879965182855788
