#    frames      t (s)    x (pxl)    y (pxl)          f        u02        u20        u11
       92.0       46.0  21.421417  97.222046   1.619915  13.187545    5.07211   2.134268
       93.0       46.5   20.31785  97.238281   2.007425  18.640516   7.084728   2.210172
       94.0       47.0  20.939207  98.577965   1.981714   13.71599   5.862583   2.215797
       95.0       47.5  20.874159  98.722183   2.032855    6.78513  10.227637   0.343852
       96.0       48.0   19.68848  97.813911   2.034113  21.250885   4.678457   0.862632
       97.0       48.5  19.624043  98.168839   2.781096   6.706653   7.309111   0.356967
       98.0       49.0  18.724962  97.883614   1.936495   8.136852    7.42801   2.553452
       99.0       49.5  20.242365  98.031685   4.091725  14.018169  10.046582    1.11429
      100.0       50.0  20.600273  97.699303   1.756213   5.245306   8.296294   1.216766
      101.0       50.5  20.149227  97.196938   2.007493   8.805043   9.465168  -1.244349
      102.0       51.0  19.929815  97.000366   1.977567     5.4961   4.321541   0.736548
      103.0       51.5  19.933664  96.482605   2.825329  21.387007   7.296921   4.543447
      104.0       52.0   20.31024  98.372108   2.919875   9.973599   6.683994   1.102379
      105.0       52.5   20.08779  97.468521   3.810175   9.695774  10.335187   -1.49909
      106.0       53.0  19.653902  98.402397   2.903704  20.115988   6.819529   2.678161
      107.0       53.5  19.916533  97.797157   3.390954  12.064054   7.043432  -0.076268
      108.0       54.0  18.820711  97.929573   3.565943   9.875403   16.88909  -2.176448
      109.0       54.5  18.657082  97.274094   4.195002   9.965793  14.277703   1.650764
      110.0       55.0  18.489416  97.760834   2.992388   9.908306  13.343802    1.90815
      111.0       55.5  19.258383   97.16777   3.312222   8.400209  10.697397   2.172274
      112.0       56.0  19.692797  98.592644   2.289144  41.053566   7.367126  -3.062745
      113.0       56.5  20.086143  97.775063   4.612037  11.440606  15.092752   -1.72058
      114.0       57.0  21.835112  97.595306   5.238947  14.892954  25.415634  -0.861901
      115.0       57.5  19.818075  97.498024   4.983567  14.358466  13.974782  -0.122239
      116.0       58.0  18.959829  97.767746   4.761212  12.684042  13.571897  -0.558893
      117.0       58.5  19.968809  96.818108   4.513308   14.53936   15.95437  -3.506149
      118.0       59.0  19.505314   98.08242   4.278879  14.215613   15.54199  -1.794264
      119.0       59.5  19.706158  97.256996   5.472121  21.314201  12.804335  -3.437458
      120.0       60.0  18.852316  97.109344   4.715155  12.262701  13.773762   0.268981
      121.0       60.5  18.744867  97.334351   4.322113  10.514472  13.035458  -0.180097
      122.0       61.0  18.613529  97.267799   5.526294  15.893174  15.610124   1.762173
      123.0       61.5  18.926683  97.727371   4.894333  14.156802  14.878693   2.204167
      124.0       62.0  18.348082   96.97834   6.407089  17.083864  20.681221  -1.940329
      125.0       62.5  18.568748  97.103561   6.537612  18.489141   29.39501  -7.351324
      126.0       63.0  18.074846  97.449104    4.37713  15.257328  12.014268   0.478447
      127.0       63.5  18.794601  97.102707   6.118333  15.502218  26.328241  -0.221005
      128.0       64.0  19.562704  96.559479   5.723037    15.2933  18.208527   0.992352
      129.0       64.5  18.894455  96.750587   5.052771  12.895706  19.851959   -0.92736
      130.0       65.0  19.499544  96.083061   3.512708   9.053263  10.986306  -0.085741
      131.0       65.5  18.215151  95.854042   2.255185   6.452813   6.807763   0.583965
      132.0       66.0  14.095159  96.454185   3.391665   8.292537   8.037112   0.131552
#---------------------------------------------------------------------------------------
# experiment: ./TRAJECTORIES
# path: /Users/andreapicco/Google Drive/RESEARCH/TRACKING/Automated_Tracking/TEST/AP2_MOVIE_2/./TRAJECTORIES
# file: trajectory_000217.txt
# dataset: Traj_3_Macro_pDC_Left_Mid_AP2_GFP_LP_fr_600_i_0.5_Airyscan Processing_BG_BL_JTC.txt
# t_unit: s
# delta_t: 0.5
# coord_unit: pxl
# intensity_normalisation: None
