#     frames       t (s)     x (pxl)     y (pxl)           f         u02         u20         u11
       379.0       189.5  327.461121   46.903133    2.202176   15.964383  106.289124    27.57486
       380.0       190.0  328.510651   47.429031    5.103014   19.640566   42.959549   17.255575
       381.0       190.5         nan         nan         nan         nan         nan         nan
       382.0       191.0  328.599884   46.176117    1.212895   23.382534   12.275604  -11.068776
       383.0       191.5  326.207123   46.581482    2.381334    7.773269   15.237073    0.954074
       384.0       192.0  327.768646   47.477211    2.668122    6.961416    8.941834    0.916088
       385.0       192.5  326.875977   46.581211    3.332292   20.438223    8.992024   -1.389865
       386.0       193.0  328.785645   46.519451    2.378479   16.236717    6.438105    -1.18644
       387.0       193.5  327.809052   47.856628    5.094235   16.313782   14.930482   -0.507523
       388.0       194.0  326.807648   47.961353    3.419872    7.045462    9.566519   -0.091775
       389.0       194.5  325.997467   47.882893    4.781137   11.582888   14.593456    3.155647
       390.0       195.0  324.570007   48.779781    4.687405   11.919727   13.465411    0.771589
       391.0       195.5   326.09906   48.510841    4.175939   10.423992   17.433029   -0.739404
       392.0       196.0  326.636414   48.109314    5.309516   11.743218   30.859825   -4.080337
       393.0       196.5  326.557404   48.355042    5.256377   12.307163   38.495182   -5.623553
       394.0       197.0  325.760803   48.170494    4.357738   10.429523    13.71478    0.575068
       395.0       197.5  325.367157   48.319237    6.072618   16.511753   19.624346   -1.942043
       396.0       198.0  324.861725   48.451569    5.903663   18.198053   16.180006    2.466306
       397.0       198.5  326.648193   48.203587    6.149927   16.294651   23.629482    1.220374
       398.0       199.0  325.867493   48.181625    6.143145   17.978491   15.649516   -1.137518
       399.0       199.5  326.288391   48.365742    9.057437   22.539143   24.190254    2.276618
       400.0       200.0  327.077942   48.329044    7.971681   21.091892   20.932156    3.778806
       401.0       200.5  327.242889   48.352337    6.271004   14.656157    20.72434    -1.92652
       402.0       201.0  326.830688   48.549641    7.248047   21.461767    21.08511   -0.352825
       403.0       201.5  325.789795   48.383965    6.589807   19.426672   16.169594   -1.317328
       404.0       202.0    325.9422    48.71386    8.586656   22.401266   26.834139    1.100032
       405.0       202.5  326.554901   48.477119    7.114947    15.65342   31.467262    3.398132
       406.0       203.0  326.362122   48.731369    7.844194   20.618305   21.597706   -1.564184
       407.0       203.5  325.783142   49.302128    7.895831   26.924768   22.075756   -1.229442
       408.0       204.0  326.689178   49.908234    6.439957   20.979464   16.943987    2.843977
       409.0       204.5  326.231049   48.995819    8.071567   17.540833     23.9884    1.956007
       410.0       205.0  326.489227   49.057961     8.55882   20.688135   25.397886   -1.020354
       411.0       205.5  325.830261   49.338692    8.720913   24.411652    23.10585    0.498321
       412.0       206.0  325.914459   49.285816    7.465049     16.5404   25.594236    1.445161
       413.0       206.5  324.315979   49.102058      6.5809   13.399247   25.132578     1.11675
       414.0       207.0   324.70871   49.160679    8.055551   24.328482   21.898094   -2.867828
       415.0       207.5  325.062744    49.22736    6.023738    14.14796   16.341158    2.526101
       416.0       208.0  325.342163   49.401749    6.199081   25.171556   15.209243   -1.656739
       417.0       208.5  324.140289   48.223766    3.523904   12.371472   14.677134    -4.08052
       418.0       209.0  324.607391   50.142155    3.483572    9.896419   17.114695    1.267231
       419.0       209.5  324.977417   49.509144    1.442983    3.837279    6.543278   -1.543059
#-----------------------------------------------------------------------------------------------
# experiment: ./TRAJECTORIES
# path: /Users/andreapicco/Google Drive/RESEARCH/TRACKING/Automated_Tracking/TEST/AP2_MOVIE_2/./TRAJECTORIES
# file: trajectory_000846.txt
# dataset: Traj_3_Macro_pDC_Left_Mid_AP2_GFP_LP_fr_600_i_0.5_Airyscan Processing_BG_BL_JTC.txt
# t_unit: s
# delta_t: 0.5
# coord_unit: pxl
# intensity_normalisation: None
