#     frames       t (s)     x (pxl)     y (pxl)           f         u02         u20         u11
       494.0       247.0  461.491211  125.352501     2.37061    8.991652   33.738682   -5.330717
       495.0       247.5  462.763153  125.896713     3.79773   14.398952   10.471792    0.674538
       496.0       248.0  462.328735  125.471779     3.84471   16.265026    8.390347    1.809141
       497.0       248.5  463.475555  124.310745    2.058784    8.052129   13.857754    3.309558
       498.0       249.0  461.799774  125.380081    4.140286   11.868298   13.163867    0.589067
       499.0       249.5  462.151611  125.678612    2.719995     9.53871    6.186426    1.270395
       500.0       250.0   461.47937  125.753311    3.817793   13.286962     8.04212    1.368053
       501.0       250.5  461.801605  125.872803    3.862547    16.82947   10.708967   -0.531243
       502.0       251.0  461.997375  125.519104    2.715456    7.988575     7.85878   -0.426995
       503.0       251.5  460.624023  125.777969    2.164454    9.247129    8.710416   -1.647488
       504.0       252.0  461.775391  125.072746    1.798634    8.056642   11.086633    2.997087
       505.0       252.5  461.405884  125.074341    2.268127   10.038461    8.100483   -3.533298
#-----------------------------------------------------------------------------------------------
# experiment: ./TRAJECTORIES
# path: /Users/andreapicco/Google Drive/RESEARCH/TRACKING/Automated_Tracking/TEST/AP2_MOVIE_2/./TRAJECTORIES
# file: trajectory_001233.txt
# dataset: Traj_3_Macro_pDC_Left_Mid_AP2_GFP_LP_fr_600_i_0.5_Airyscan Processing_BG_BL_JTC.txt
# t_unit: s
# delta_t: 0.5
# coord_unit: pxl
# intensity_normalisation: None
