#    frames      t (s)    x (pxl)    y (pxl)          f        u02        u20        u11
      287.0      143.5  97.651566  94.306808   1.658948   4.677611   5.819803  -1.276237
      288.0      144.0   94.33297   94.58976   1.802323   5.484121   4.341871  -0.669921
      289.0      144.5  95.562347  95.241844   1.533417   4.585918   4.493066  -1.372462
      290.0      145.0   93.93528  95.424721   1.799622   5.256975   5.519214  -0.053176
      291.0      145.5  95.912071  92.826241   1.966223   4.608466   5.049726   0.587181
      292.0      146.0  94.526352  94.335014   2.519115   6.093236   7.608214  -0.206943
      293.0      146.5  94.801697  93.402298   1.656522   4.045352   4.551649  -0.269715
      294.0      147.0  96.326118  94.015236   2.366283   5.074208   7.587207   0.766581
      295.0      147.5  95.040092  94.528366   3.004033  11.176259   6.600823  -2.012633
      296.0      148.0  95.341652  93.825554   3.112182   6.956557  10.808735  -0.724638
      297.0      148.5  95.678284  93.994286    2.71293   8.555354   6.546387  -0.705798
      298.0      149.0  95.030914  94.087303   4.256996  13.918496   8.399659  -0.296714
      299.0      149.5  96.185059   94.19278   3.347405   8.076628   8.202797  -1.438798
      300.0      150.0  96.675568  94.093918   3.792052  16.477228   9.375928   0.362946
      301.0      150.5  95.995239  93.562714   3.021892   9.716455   7.953344   0.347416
      302.0      151.0  96.071419   94.17421   2.585742    12.7651   8.555134  -4.943125
      303.0      151.5  97.042564  93.279823   4.201005  15.746064   9.260682  -2.207065
      304.0      152.0  96.616409  93.786339     4.7714  12.207645  13.308073  -0.495362
      305.0      152.5  97.144356  94.295532   4.551648  11.071017  15.519008    2.05003
      306.0      153.0  97.826813  93.339394   4.670267  14.285254  13.087466  -1.821257
      307.0      153.5  97.187073  94.351891   5.283543  15.167261  18.703064  -3.987984
      308.0      154.0  95.841125  94.163857   3.490743   7.836667  13.418513  -3.109775
      309.0      154.5  98.587303  94.062454   5.599864   17.12027  19.130175  -4.734029
      310.0      155.0  97.687378  94.022659   4.397578  12.255934  13.683159  -1.315273
      311.0      155.5  97.364594  93.933983   5.681965    14.2148  22.525064  -3.457232
      312.0      156.0  97.044899  94.403755     5.2325  12.333804  25.027727   3.298419
      313.0      156.5  96.569481  94.470207   4.889074  12.602298  14.108152  -1.696904
      314.0      157.0  96.910912  94.618912   5.986583  13.125087  17.598547  -0.263072
      315.0      157.5  96.709755  94.416466   5.975147  19.551039   23.46064  -8.711802
      316.0      158.0  96.342461  93.489906   6.494046  17.170643  18.847895  -0.510769
      317.0      158.5  96.577377  94.010933   7.188314  22.367182   20.08066   4.011545
      318.0      159.0  96.403961  94.400703   6.602948   17.08695  20.572622   0.179367
      319.0      159.5  95.642647  94.298584    6.72823  20.660582   18.02062  -3.437907
      320.0      160.0  95.282715  93.925201   6.209141  19.944614  17.975477  -4.541357
      321.0      160.5  95.483261  93.716461   6.169329  17.399263  17.279161   0.500654
      322.0      161.0  94.930626  94.066475   7.628959  21.483349  17.204361  -2.455047
      323.0      161.5  95.799255  94.241165   8.838337  22.457685   29.32411  -1.954132
      324.0      162.0  95.308105  93.540077   6.393378  15.018984  23.871426   1.414111
      325.0      162.5  94.902893  94.022758    8.05137  20.591898  19.454874  -1.577945
      326.0      163.0  95.026787  94.324654    5.15067  12.730508  15.097568    1.81162
      327.0      163.5  95.721191  94.385239   8.265753  23.408363  22.729597  -6.507565
      328.0      164.0  93.900719  93.976006   6.730713  15.095973  21.601406  -1.756214
      329.0      164.5  94.078194  93.610596   5.216492  15.075787  17.789045  -2.986385
      330.0      165.0  93.895813  93.947685    5.87532  15.170292  17.065636    2.51158
      331.0      165.5  95.234901  93.116325   8.459175  25.206333  18.418732   0.548051
      332.0      166.0  95.189209  93.984383   7.131656  22.944004  29.346159  -1.283045
      333.0      166.5  95.549217  94.229836   6.429329  15.092111  23.813351  -2.441566
      334.0      167.0  94.182953  93.380531   3.964199  10.482514  13.290266   1.570894
      335.0      167.5   94.27533  94.294334   3.794352   9.872154   9.279963  -1.247228
      336.0      168.0  93.910896  94.579468   3.659349  12.135636  11.388786   -2.21682
      337.0      168.5  93.318024   93.03833   1.851107   5.154858   4.283051  -0.970783
#---------------------------------------------------------------------------------------
# experiment: ./TRAJECTORIES
# path: /Users/andreapicco/Google Drive/RESEARCH/TRACKING/Automated_Tracking/TEST/AP2_MOVIE_2/./TRAJECTORIES
# file: trajectory_000601.txt
# dataset: Traj_3_Macro_pDC_Left_Mid_AP2_GFP_LP_fr_600_i_0.5_Airyscan Processing_BG_BL_JTC.txt
# t_unit: s
# delta_t: 0.5
# coord_unit: pxl
# intensity_normalisation: None
# eccentricity_pval: 0.06010019957656443
# eccentricity_R: 0.8953099012136605
