#     frames       t (s)     x (pxl)     y (pxl)           f         u02         u20         u11
       458.0       229.0  206.554001   86.003395    0.939889    3.560369    2.022609    0.436203
       459.0       229.5         nan         nan         nan         nan         nan         nan
       460.0       230.0  213.434555   83.507195    1.055412    2.784255     1.87765    0.527173
       461.0       230.5         nan         nan         nan         nan         nan         nan
       462.0       231.0  207.333908   86.983727    1.735509    3.137571    5.534007   -0.867993
       463.0       231.5  202.225662   85.747536    1.105774    4.038839    2.589552    -0.43412
       464.0       232.0  206.679703   87.767845    1.319263    2.324138    5.738202   -0.785152
       465.0       232.5  206.609009   88.950653    2.559434   13.415579    4.738708   -0.164858
       466.0       233.0   206.75946   88.385437    1.317509    5.842415    3.216558   -0.555019
       467.0       233.5  205.856857   86.588631    1.515533    5.105694    5.544576   -0.822529
       468.0       234.0   207.66394   87.703308    1.704386    3.994138    5.071775     1.18276
       469.0       234.5  205.951202    87.27861    2.503026    6.357624    4.891524   -0.449838
       470.0       235.0  206.743423   87.943176    2.343073    7.255394    6.205186   -1.009168
       471.0       235.5  205.864685    87.69799    3.368456   12.463996     6.67527   -1.022432
       472.0       236.0  206.316681   86.738708    2.911799    7.218615    9.470984   -1.581278
       473.0       236.5  206.303665   87.938301    3.617702    8.715731   13.412236    0.185065
       474.0       237.0  208.113449   88.123962    4.985674    9.596687   18.064304    1.143985
       475.0       237.5  206.834885   88.349464    3.966516    8.494043   14.887221    -0.49325
       476.0       238.0  206.289444   87.899277    4.442474   10.902791   14.528224   -0.398927
       477.0       238.5  205.031372   87.935585    3.623708    6.795385   13.152999   -1.011788
       478.0       239.0  206.747269   88.152527    4.686695   11.639427   17.906866     0.77339
       479.0       239.5  204.585754   87.706238    5.505027   17.110277   23.790592    0.774459
       480.0       240.0  205.050461   87.914673    6.725358   14.066987   29.131426    1.107755
       481.0       240.5  206.461746   87.868584    5.483806   16.238979    18.64082   -2.061811
       482.0       241.0  205.351257   89.084183    5.881979   15.963803   25.050919   -0.776987
       483.0       241.5  205.199615   88.798126    4.277328    8.111702   17.316914    0.179954
       484.0       242.0  204.739517   88.158592    6.827977   15.814751   22.293146    2.225082
       485.0       242.5  205.140366    88.90152    6.357598   13.453876   25.727238   -0.460177
       486.0       243.0  205.341232   89.409454    5.885595    14.81761   20.996592    2.281097
       487.0       243.5   204.49292   89.172005    6.740361   15.527556   33.688255    1.474699
       488.0       244.0  204.738953   89.723022    6.654727   17.397873   20.289837    3.718864
       489.0       244.5  205.937653   89.965874    6.272393   15.380982   21.732231   -3.167474
       490.0       245.0  205.254303    89.27256    5.744458   16.195028   19.946516   -2.716172
       491.0       245.5  204.856689   89.121025    5.581514   15.340274   19.827871   -3.425736
       492.0       246.0  204.895523   89.492561    7.900192   20.989771   36.725506    6.104805
       493.0       246.5  204.376556   89.127106     7.81952   20.953583   25.656004   -2.397069
       494.0       247.0  203.801483   89.398689    8.601688   20.382154   38.281719   -0.370263
       495.0       247.5  204.917999   89.541283    7.038935   16.316864   34.707378    3.056097
       496.0       248.0   203.67572   89.461929    7.658176   18.885365   38.712757      0.3156
       497.0       248.5  203.257828   89.930794    7.363412   17.266907   34.981472    5.858438
       498.0       249.0  203.287888   89.087639      8.4003   20.169796   26.725721    1.818299
       499.0       249.5   203.76796   89.685158     7.27197   17.829454   33.989452    2.623936
       500.0       250.0  202.906754   89.251488     8.18803   19.338291   33.707104    2.521618
       501.0       250.5  203.178726   89.741386    8.280561   23.822233   32.011013    3.132612
       502.0       251.0  202.155075   88.765488   10.029595   27.090151   32.665779   -2.387691
       503.0       251.5  202.428207   89.306572    8.227361   17.822296   37.731888    0.708071
       504.0       252.0  201.383331   89.230881    6.216866   13.998767   25.253452    3.147562
       505.0       252.5  201.107086   88.904053    8.137694    19.02352   22.017262    1.966142
       506.0       253.0  201.140762   89.101799    7.763606   16.793535    20.34634   -0.464268
       507.0       253.5  200.051132   89.662697    5.899489   20.956972   10.195588   -0.301153
       508.0       254.0  200.567719   89.285217    5.886496   19.009836   17.826582    5.954083
       509.0       254.5  200.139404    88.86895    6.670876   17.716801    21.04862   -1.345259
       510.0       255.0  200.377182   89.232437    7.121606   21.218515    21.09807    0.365532
       511.0       255.5  200.432617   89.147514    7.131945   16.927931   25.829588   -5.408026
       512.0       256.0  200.153961   88.714188    5.532685   16.629528   14.806895   -2.472751
       513.0       256.5  199.267975   89.102592    6.653733   22.811258    15.53412   -0.506065
       514.0       257.0  199.869797   90.003876    4.445994   11.630145   10.985107   -1.561558
       515.0       257.5  199.737289   88.188072    5.652287   18.855349   13.810738    1.045494
       516.0       258.0  198.940338   89.161133    5.702483   16.781538   18.470041    0.696685
       517.0       258.5  199.117386   89.006058    8.324365   31.753069   17.533276    0.606484
       518.0       259.0  198.337234   89.729546    7.270521   26.107595   15.406487    0.843938
       519.0       259.5   198.73848    88.76033    6.023969   18.709684   18.924414    0.738566
       520.0       260.0  198.111908   88.412697    8.351889   23.283592   25.434395    -1.54191
       521.0       260.5  199.057922   88.793915    6.966491   14.431832    26.62878    1.209653
       522.0       261.0  198.794983   88.567986    8.815779   29.447935   20.377254    3.877297
       523.0       261.5  198.216919   88.961121    7.751707   20.775455   20.022106    4.811896
       524.0       262.0  198.534561   89.754295    7.185029   25.268764   18.154226    4.448805
       525.0       262.5  198.367981   90.396622     4.74887   13.907416   13.832532    0.331305
       526.0       263.0   197.16568   89.492996    5.866212    14.51487   18.805984    1.052457
       527.0       263.5  197.456894    90.40477     2.96022    6.766411    16.89687    0.043189
       528.0       264.0  196.550064   88.505455    1.530746    4.072037    4.986584   -1.426812
       529.0       264.5         nan         nan         nan         nan         nan         nan
       530.0       265.0  197.844742   90.180214    1.087007     1.82905    4.236259   -0.246847
       531.0       265.5         nan         nan         nan         nan         nan         nan
       532.0       266.0  198.704971   94.171883      0.8964    3.055278    1.316404    0.201615
#-----------------------------------------------------------------------------------------------
# experiment: ./TRAJECTORIES
# path: /Users/andreapicco/Google Drive/RESEARCH/TRACKING/Automated_Tracking/TEST/AP2_MOVIE_2/./TRAJECTORIES
# file: trajectory_001091.txt
# dataset: Traj_3_Macro_pDC_Left_Mid_AP2_GFP_LP_fr_600_i_0.5_Airyscan Processing_BG_BL_JTC.txt
# t_unit: s
# delta_t: 0.5
# coord_unit: pxl
# intensity_normalisation: None
